job_title,num_postings,top_skills,top_skills_with_freq,skills_json
Accountant,129,"accounting, financial reporting, attention to detail, budgeting, communication, communication skills, teamwork, financial statements, excel, analytical skills","accounting (3.54%), financial reporting (1.87%), attention to detail (1.67%), budgeting (1.51%), communication (1.23%), communication skills (1.23%), teamwork (1.11%), financial statements (1.07%), excel (1.07%), analytical skills (0.99%)","[('accounting', 0.035387673956262425), ('financial reporting', 0.01868787276341948), ('attention to detail', 0.016699801192842943), ('budgeting', 0.015109343936381709), ('communication', 0.012326043737574552), ('communication skills', 0.012326043737574552), ('teamwork', 0.011133200795228629), ('financial statements', 0.01073558648111332), ('excel', 0.01073558648111332), ('analytical skills', 0.009940357852882704)]"
Account Manager,117,"account management, sales, communication, time management, negotiation, business development, problem solving, teamwork, customer service, communication skills","account management (2.91%), sales (2.44%), communication (1.93%), time management (1.33%), negotiation (1.33%), business development (1.24%), problem solving (1.16%), teamwork (1.03%), customer service (0.99%), communication skills (0.99%)","[('account management', 0.029122055674518203), ('sales', 0.024411134903640257), ('communication', 0.019271948608137045), ('time management', 0.013276231263383297), ('negotiation', 0.013276231263383297), ('business development', 0.012419700214132762), ('problem solving', 0.011563169164882228), ('teamwork', 0.010278372591006424), ('customer service', 0.009850107066381156), ('communication skills', 0.009850107066381156)]"
Physiotherapist,99,"physiotherapy, ahpra registration, teamwork, professional development, communication skills, communication, physiotherapist, working with children check, manual therapy, time management","physiotherapy (2.95%), ahpra registration (1.80%), teamwork (1.45%), professional development (1.07%), communication skills (0.94%), communication (0.90%), physiotherapist (0.86%), working with children check (0.86%), manual therapy (0.86%), time management (0.86%)","[('physiotherapy', 0.029525032092426188), ('ahpra registration', 0.01797175866495507), ('teamwork', 0.014548566538296961), ('professional development', 0.01069747539580659), ('communication skills', 0.009413778348309799), ('communication', 0.008985879332477536), ('physiotherapist', 0.008557980316645272), ('working with children check', 0.008557980316645272), ('manual therapy', 0.008557980316645272), ('time management', 0.008557980316645272)]"
Manager,98,"customer service, staff management, leadership, recruitment, coaching, cash control, stock management, training, communication skills, safety","customer service (6.10%), staff management (5.88%), leadership (4.65%), recruitment (4.58%), coaching (4.50%), cash control (4.21%), stock management (3.92%), training (3.63%), communication skills (3.49%), safety (3.34%)","[('customer service', 0.06100217864923747), ('staff management', 0.058823529411764705), ('leadership', 0.04647785039941903), ('recruitment', 0.0457516339869281), ('coaching', 0.04502541757443718), ('cash control', 0.04212055192447349), ('stock management', 0.0392156862745098), ('training', 0.03631082062454612), ('communication skills', 0.034858387799564274), ('safety', 0.03340595497458242)]"
Store Manager,95,"customer service, leadership, retail management, communication, team management, sales, inventory management, recruitment, store management, communication skills","customer service (4.12%), leadership (3.25%), retail management (2.30%), communication (2.23%), team management (1.76%), sales (1.69%), inventory management (1.62%), recruitment (1.35%), store management (1.35%), communication skills (1.35%)","[('customer service', 0.041244083840432724), ('leadership', 0.032454361054766734), ('retail management', 0.022988505747126436), ('communication', 0.02231237322515213), ('team management', 0.01757944557133198), ('sales', 0.016903313049357674), ('inventory management', 0.016227180527383367), ('recruitment', 0.013522650439486139), ('store management', 0.013522650439486139), ('communication skills', 0.013522650439486139)]"
Sales Consultant,91,"customer service, sales, teamwork, upselling, relationship building, product knowledge, performance delivery, attention to detail, crossselling, customer focus","customer service (3.97%), sales (3.71%), teamwork (2.61%), upselling (2.30%), relationship building (2.24%), product knowledge (2.19%), performance delivery (1.98%), attention to detail (1.93%), crossselling (1.88%), customer focus (1.88%)","[('customer service', 0.03966597077244259), ('sales', 0.037056367432150315), ('teamwork', 0.026096033402922755), ('upselling', 0.022964509394572025), ('relationship building', 0.02244258872651357), ('product knowledge', 0.021920668058455117), ('performance delivery', 0.019832985386221295), ('attention to detail', 0.019311064718162838), ('crossselling', 0.018789144050104383), ('customer focus', 0.018789144050104383)]"
Assistant-Gérant,80,"customer service, sales optimization, retail management, human resources management, retail experience, inventory management, standing for long periods, human resource management, attention to detail, physical strength","customer service (10.22%), sales optimization (7.00%), retail management (4.76%), human resources management (4.62%), retail experience (4.48%), inventory management (3.08%), standing for long periods (2.66%), human resource management (2.52%), attention to detail (2.38%), physical strength (2.38%)","[('customer service', 0.10224089635854341), ('sales optimization', 0.0700280112044818), ('retail management', 0.047619047619047616), ('human resources management', 0.046218487394957986), ('retail experience', 0.04481792717086835), ('inventory management', 0.03081232492997199), ('standing for long periods', 0.02661064425770308), ('human resource management', 0.025210084033613446), ('attention to detail', 0.023809523809523808), ('physical strength', 0.023809523809523808)]"
General Practitioner,79,"general practitioner, fracgp, ahpra registration, facrrm, general practice, patient care, pathology, communication skills, radiology, chronic disease management","general practitioner (3.46%), fracgp (1.83%), ahpra registration (1.73%), facrrm (1.73%), general practice (1.15%), patient care (1.06%), pathology (1.06%), communication skills (0.96%), radiology (0.87%), chronic disease management (0.77%)","[('general practitioner', 0.03461538461538462), ('fracgp', 0.01826923076923077), ('ahpra registration', 0.01730769230769231), ('facrrm', 0.01730769230769231), ('general practice', 0.011538461538461539), ('patient care', 0.010576923076923078), ('pathology', 0.010576923076923078), ('communication skills', 0.009615384615384616), ('radiology', 0.008653846153846154), ('chronic disease management', 0.007692307692307693)]"
Chef De Partie,73,"food preparation, chef de partie, teamwork, cooking, communication, food safety, leadership, menu planning, kitchen management, customer service","food preparation (2.66%), chef de partie (2.19%), teamwork (2.03%), cooking (1.95%), communication (1.95%), food safety (1.72%), leadership (1.56%), menu planning (1.49%), kitchen management (1.41%), customer service (1.33%)","[('food preparation', 0.026583268178264268), ('chef de partie', 0.0218921032056294), ('teamwork', 0.020328381548084442), ('cooking', 0.019546520719311962), ('communication', 0.019546520719311962), ('food safety', 0.017200938232994525), ('leadership', 0.01563721657544957), ('menu planning', 0.014855355746677092), ('kitchen management', 0.014073494917904612), ('customer service', 0.013291634089132134)]"
Senior Project Manager,68,"project management, communication, stakeholder management, leadership, risk management, communication skills, budget management, construction management, scheduling, problem solving","project management (4.13%), communication (1.81%), stakeholder management (1.52%), leadership (1.45%), risk management (1.38%), communication skills (1.01%), budget management (0.94%), construction management (0.87%), scheduling (0.72%), problem solving (0.72%)","[('project management', 0.041274438812454746), ('communication', 0.018102824040550327), ('stakeholder management', 0.015206372194062274), ('leadership', 0.01448225923244026), ('risk management', 0.013758146270818247), ('communication skills', 0.010137581462708182), ('budget management', 0.00941346850108617), ('construction management', 0.008689355539464157), ('scheduling', 0.00724112961622013), ('problem solving', 0.00724112961622013)]"
Lead Educator,66,"working with children's check, early childhood education, leadership, early years learning framework (eylf), documentation, child protection training, communication, national quality standards (nqs), first aid, eylf","working with children's check (2.81%), early childhood education (2.20%), leadership (2.20%), early years learning framework (eylf) (2.20%), documentation (2.11%), child protection training (2.11%), communication (2.02%), national quality standards (nqs) (1.93%), first aid (1.50%), eylf (1.50%)","[(""working with children's check"", 0.028144239226033423), ('early childhood education', 0.02198768689533861), ('leadership', 0.02198768689533861), ('early years learning framework (eylf)', 0.02198768689533861), ('documentation', 0.021108179419525065), ('child protection training', 0.021108179419525065), ('communication', 0.020228671943711522), ('national quality standards (nqs)', 0.019349164467897976), ('first aid', 0.014951627088830254), ('eylf', 0.014951627088830254)]"
Dentist,66,"dentistry, insurance, relocation assistance, currency and banking, visa advice, ahpra registration, communication skills, financial and tax advisory services, professional advice, dental recruitment","dentistry (6.86%), insurance (3.74%), relocation assistance (3.24%), currency and banking (2.87%), visa advice (2.49%), ahpra registration (2.00%), communication skills (1.75%), financial and tax advisory services (1.62%), professional advice (1.37%), dental recruitment (1.25%)","[('dentistry', 0.0685785536159601), ('insurance', 0.03740648379052369), ('relocation assistance', 0.032418952618453865), ('currency and banking', 0.028678304239401497), ('visa advice', 0.02493765586034913), ('ahpra registration', 0.0199501246882793), ('communication skills', 0.017456359102244388), ('financial and tax advisory services', 0.016209476309226933), ('professional advice', 0.01371571072319202), ('dental recruitment', 0.012468827930174564)]"
Banking Advisor,65,"customer service, compliance, risk management, employee share ownership plan, employee and family assistance program, virtual sleep clinic, mortgage financing, preferential banking services, investment, flexible group insurance","customer service (3.51%), compliance (3.11%), risk management (3.04%), employee share ownership plan (2.91%), employee and family assistance program (2.91%), virtual sleep clinic (2.91%), mortgage financing (2.77%), preferential banking services (2.70%), investment (2.64%), flexible group insurance (2.57%)","[('customer service', 0.03513513513513514), ('compliance', 0.031081081081081083), ('risk management', 0.030405405405405407), ('employee share ownership plan', 0.029054054054054056), ('employee and family assistance program', 0.029054054054054056), ('virtual sleep clinic', 0.029054054054054056), ('mortgage financing', 0.027702702702702704), ('preferential banking services', 0.02702702702702703), ('investment', 0.026351351351351353), ('flexible group insurance', 0.025675675675675677)]"
Educator,63,"early childhood education, working with children check, first aid certificate, communication, valid working with children check, teamwork, cert iii or diploma in early childhood, coaching, current first aid certificate, experience in early childhood education","early childhood education (6.82%), working with children check (5.66%), first aid certificate (5.66%), communication (3.19%), valid working with children check (3.05%), teamwork (2.76%), cert iii or diploma in early childhood (2.47%), coaching (2.32%), current first aid certificate (2.32%), experience in early childhood education (2.18%)","[('early childhood education', 0.06821480406386067), ('working with children check', 0.05660377358490566), ('first aid certificate', 0.05660377358490566), ('communication', 0.03193033381712627), ('valid working with children check', 0.030478955007256895), ('teamwork', 0.027576197387518143), ('cert iii or diploma in early childhood', 0.02467343976777939), ('coaching', 0.023222060957910014), ('current first aid certificate', 0.023222060957910014), ('experience in early childhood education', 0.02177068214804064)]"
Branch Manager,60,"leadership, customer service, communication, sales, coaching, budgeting, branch management, team management, communication skills, business development","leadership (2.68%), customer service (2.60%), communication (2.22%), sales (2.07%), coaching (1.23%), budgeting (1.00%), branch management (1.00%), team management (0.92%), communication skills (0.84%), business development (0.84%)","[('leadership', 0.02679938744257274), ('customer service', 0.026033690658499236), ('communication', 0.0222052067381317), ('sales', 0.020673813169984685), ('coaching', 0.01225114854517611), ('budgeting', 0.009954058192955589), ('branch management', 0.009954058192955589), ('team management', 0.009188361408882083), ('communication skills', 0.008422664624808576), ('business development', 0.008422664624808576)]"
HR Business Partner,58,"performance management, employee relations, human resources, recruitment, coaching, communication, industrial relations, interpersonal skills, change management, communication skills","performance management (2.48%), employee relations (2.31%), human resources (2.05%), recruitment (1.54%), coaching (1.45%), communication (1.11%), industrial relations (1.03%), interpersonal skills (1.03%), change management (0.94%), communication skills (0.94%)","[('performance management', 0.02480752780153978), ('employee relations', 0.023096663815226688), ('human resources', 0.020530367835757058), ('recruitment', 0.015397775876817793), ('coaching', 0.01454234388366125), ('communication', 0.011120615911035072), ('industrial relations', 0.010265183917878529), ('interpersonal skills', 0.010265183917878529), ('change management', 0.009409751924721984), ('communication skills', 0.009409751924721984)]"
Human Resources Business Partner,58,"performance management, employee relations, human resources, communication, coaching, talent management, change management, interpersonal skills, recruitment, training","performance management (2.75%), employee relations (2.43%), human resources (2.18%), communication (1.38%), coaching (1.13%), talent management (1.13%), change management (0.97%), interpersonal skills (0.97%), recruitment (0.97%), training (0.89%)","[('performance management', 0.02750809061488673), ('employee relations', 0.024271844660194174), ('human resources', 0.021844660194174758), ('communication', 0.013754045307443365), ('coaching', 0.011326860841423949), ('talent management', 0.011326860841423949), ('change management', 0.009708737864077669), ('interpersonal skills', 0.009708737864077669), ('recruitment', 0.009708737864077669), ('training', 0.00889967637540453)]"
Veterinarian,57,"veterinary medicine, surgery, ultrasound, veterinarian, teamwork, communication skills, communication, patient care, dentistry, employee assistance program","veterinary medicine (3.26%), surgery (2.08%), ultrasound (1.78%), veterinarian (1.58%), teamwork (1.48%), communication skills (1.29%), communication (1.19%), patient care (1.19%), dentistry (1.09%), employee assistance program (1.09%)","[('veterinary medicine', 0.032640949554896145), ('surgery', 0.020771513353115726), ('ultrasound', 0.017804154302670624), ('veterinarian', 0.01582591493570722), ('teamwork', 0.01483679525222552), ('communication skills', 0.012858555885262116), ('communication', 0.011869436201780416), ('patient care', 0.011869436201780416), ('dentistry', 0.010880316518298714), ('employee assistance program', 0.010880316518298714)]"
Site Manager,55,"site management, project management, communication, leadership, communication skills, construction, customer service, subcontractor management, quality control, construction management","site management (3.80%), project management (2.85%), communication (2.00%), leadership (1.90%), communication skills (1.48%), construction (1.37%), customer service (1.27%), subcontractor management (1.16%), quality control (1.05%), construction management (1.05%)","[('site management', 0.0379746835443038), ('project management', 0.028481012658227847), ('communication', 0.020042194092827006), ('leadership', 0.0189873417721519), ('communication skills', 0.014767932489451477), ('construction', 0.013713080168776372), ('customer service', 0.012658227848101266), ('subcontractor management', 0.011603375527426161), ('quality control', 0.010548523206751054), ('construction management', 0.010548523206751054)]"
Assistant Director,55,"leadership, communication, mentoring, early childhood education, goodstart practice guide, early learning, childcare, teamwork, working with children check, collaboration","leadership (4.53%), communication (4.22%), mentoring (2.67%), early childhood education (2.57%), goodstart practice guide (2.47%), early learning (2.47%), childcare (2.47%), teamwork (2.37%), working with children check (2.26%), collaboration (2.16%)","[('leadership', 0.04526748971193416), ('communication', 0.04218106995884774), ('mentoring', 0.026748971193415638), ('early childhood education', 0.0257201646090535), ('goodstart practice guide', 0.024691358024691357), ('early learning', 0.024691358024691357), ('childcare', 0.024691358024691357), ('teamwork', 0.023662551440329218), ('working with children check', 0.02263374485596708), ('collaboration', 0.021604938271604937)]"
Conseiller bancaire,55,"customer service, risk management, adaptability, compliance, empathy, banking applications, communication, problem solving, inclusive attitude, relationship building","customer service (4.19%), risk management (2.89%), adaptability (2.74%), compliance (2.59%), empathy (2.44%), banking applications (2.36%), communication (2.36%), problem solving (2.28%), inclusive attitude (2.13%), relationship building (2.06%)","[('customer service', 0.041888804265041886), ('risk management', 0.028941355674028942), ('adaptability', 0.027418126428027417), ('compliance', 0.025894897182025894), ('empathy', 0.024371667936024372), ('banking applications', 0.02361005331302361), ('communication', 0.02361005331302361), ('problem solving', 0.02284843869002285), ('inclusive attitude', 0.021325209444021324), ('relationship building', 0.020563594821020565)]"
Site Supervisor,54,"project management, communication, teamwork, subcontractor management, site supervisor, site supervision, quality control, construction, leadership, quality assurance","project management (3.26%), communication (2.52%), teamwork (1.58%), subcontractor management (1.58%), site supervisor (1.58%), site supervision (1.47%), quality control (1.37%), construction (1.37%), leadership (1.26%), quality assurance (1.16%)","[('project management', 0.032563025210084036), ('communication', 0.025210084033613446), ('teamwork', 0.015756302521008403), ('subcontractor management', 0.015756302521008403), ('site supervisor', 0.015756302521008403), ('site supervision', 0.014705882352941176), ('quality control', 0.01365546218487395), ('construction', 0.01365546218487395), ('leadership', 0.012605042016806723), ('quality assurance', 0.011554621848739496)]"
Engineering Manager,53,"project management, engineering management, leadership, communication, problem solving, engineering, collaboration, mechanical engineering, continuous improvement, time management","project management (2.04%), engineering management (1.83%), leadership (1.62%), communication (1.33%), problem solving (1.05%), engineering (0.70%), collaboration (0.70%), mechanical engineering (0.70%), continuous improvement (0.70%), time management (0.56%)","[('project management', 0.020365168539325844), ('engineering management', 0.018258426966292134), ('leadership', 0.016151685393258428), ('communication', 0.013342696629213483), ('problem solving', 0.010533707865168539), ('engineering', 0.007022471910112359), ('collaboration', 0.007022471910112359), ('mechanical engineering', 0.007022471910112359), ('continuous improvement', 0.007022471910112359), ('time management', 0.0056179775280898875)]"
Senior Accountant,52,"accounting, financial statements, xero, financial reporting, mentoring, budgeting, ca, tax returns, financial analysis, myob","accounting (3.02%), financial statements (1.74%), xero (1.46%), financial reporting (1.37%), mentoring (1.19%), budgeting (1.10%), ca (1.10%), tax returns (1.10%), financial analysis (1.01%), myob (1.01%)","[('accounting', 0.03016453382084095), ('financial statements', 0.01736745886654479), ('xero', 0.014625228519195612), ('financial reporting', 0.013711151736745886), ('mentoring', 0.011882998171846435), ('budgeting', 0.010968921389396709), ('ca', 0.010968921389396709), ('tax returns', 0.010968921389396709), ('financial analysis', 0.010054844606946984), ('myob', 0.010054844606946984)]"
Department Manager,52,"communication, coaching, inventory management, customer service, management, marketing, budgeting, retail experience, leadership, sales","communication (3.79%), coaching (3.52%), inventory management (3.39%), customer service (3.39%), management (3.25%), marketing (3.12%), budgeting (2.57%), retail experience (2.03%), leadership (1.90%), sales (1.49%)","[('communication', 0.037940379403794036), ('coaching', 0.03523035230352303), ('inventory management', 0.03387533875338753), ('customer service', 0.03387533875338753), ('management', 0.032520325203252036), ('marketing', 0.03116531165311653), ('budgeting', 0.025745257452574527), ('retail experience', 0.02032520325203252), ('leadership', 0.018970189701897018), ('sales', 0.014905149051490514)]"
Front Store Supervisor,50,"loss prevention, customer service, merchandising, time management, problem solving, computer literacy, organization, j2wfsm, j2wrtl, independent thinking","loss prevention (5.70%), customer service (5.70%), merchandising (5.47%), time management (5.12%), problem solving (5.12%), computer literacy (4.66%), organization (4.31%), j2wfsm (4.19%), j2wrtl (4.19%), independent thinking (3.38%)","[('loss prevention', 0.0570430733410943), ('customer service', 0.0570430733410943), ('merchandising', 0.05471478463329453), ('time management', 0.051222351571594875), ('problem solving', 0.051222351571594875), ('computer literacy', 0.046565774155995346), ('organization', 0.04307334109429569), ('j2wfsm', 0.04190919674039581), ('j2wrtl', 0.04190919674039581), ('independent thinking', 0.033760186263096625)]"
General Practitioner (DPA),50,"fracgp, facrrm, general practitioner, permanent residency, chronic disease management, health workforce certificate (hwc), visa sponsorship, skin cancer clinic, racgp pep specialist pathway, relocation support","fracgp (6.81%), facrrm (6.52%), general practitioner (6.07%), permanent residency (3.26%), chronic disease management (2.81%), health workforce certificate (hwc) (1.78%), visa sponsorship (1.63%), skin cancer clinic (1.63%), racgp pep specialist pathway (1.48%), relocation support (1.33%)","[('fracgp', 0.06814814814814815), ('facrrm', 0.06518518518518518), ('general practitioner', 0.06074074074074074), ('permanent residency', 0.03259259259259259), ('chronic disease management', 0.028148148148148148), ('health workforce certificate (hwc)', 0.017777777777777778), ('visa sponsorship', 0.016296296296296295), ('skin cancer clinic', 0.016296296296296295), ('racgp pep specialist pathway', 0.014814814814814815), ('relocation support', 0.013333333333333334)]"
Buyer,48,"supply chain management, procurement, negotiation, communication, purchasing, communication skills, attention to detail, sap, time management, analytical skills","supply chain management (2.16%), procurement (1.96%), negotiation (1.65%), communication (1.34%), purchasing (1.34%), communication skills (1.24%), attention to detail (0.93%), sap (0.93%), time management (0.93%), analytical skills (0.82%)","[('supply chain management', 0.021627188465499485), ('procurement', 0.01956745623069001), ('negotiation', 0.016477857878475798), ('communication', 0.013388259526261586), ('purchasing', 0.013388259526261586), ('communication skills', 0.012358393408856848), ('attention to detail', 0.009268795056642637), ('sap', 0.009268795056642637), ('time management', 0.009268795056642637), ('analytical skills', 0.008238928939237899)]"
Senior Software Engineer,46,"software engineering, c, software development, typescript, postgresql, c#, java, computer science, aws, node.js","software engineering (2.33%), c (1.55%), software development (1.36%), typescript (1.36%), postgresql (1.36%), c# (1.36%), java (1.16%), computer science (0.97%), aws (0.97%), node.js (0.97%)","[('software engineering', 0.023278370514064017), ('c', 0.015518913676042677), ('software development', 0.013579049466537343), ('typescript', 0.013579049466537343), ('postgresql', 0.013579049466537343), ('c#', 0.013579049466537343), ('java', 0.011639185257032008), ('computer science', 0.009699321047526674), ('aws', 0.009699321047526674), ('node.js', 0.009699321047526674)]"
Assistant Store Manager - Spencer's,46,"merchandising, inventory control, retail experience, customer service, management experience, staff development, sales, expense control, shrinkage control, profitability","merchandising (7.81%), inventory control (7.81%), retail experience (5.90%), customer service (5.52%), management experience (5.33%), staff development (3.62%), sales (3.24%), expense control (3.24%), shrinkage control (3.05%), profitability (2.48%)","[('merchandising', 0.07809523809523809), ('inventory control', 0.07809523809523809), ('retail experience', 0.05904761904761905), ('customer service', 0.05523809523809524), ('management experience', 0.05333333333333334), ('staff development', 0.03619047619047619), ('sales', 0.03238095238095238), ('expense control', 0.03238095238095238), ('shrinkage control', 0.030476190476190476), ('profitability', 0.024761904761904763)]"
Restaurant Manager,46,"restaurant management, customer service, leadership, communication, financial management, inventory management, staff training, communication skills, budgeting, team management","restaurant management (4.26%), customer service (3.65%), leadership (1.95%), communication (1.83%), financial management (1.58%), inventory management (1.34%), staff training (1.34%), communication skills (1.22%), budgeting (1.22%), team management (1.10%)","[('restaurant management', 0.04263093788063337), ('customer service', 0.03654080389768575), ('leadership', 0.0194884287454324), ('communication', 0.018270401948842874), ('financial management', 0.015834348355663823), ('inventory management', 0.013398294762484775), ('staff training', 0.013398294762484775), ('communication skills', 0.012180267965895249), ('budgeting', 0.012180267965895249), ('team management', 0.010962241169305725)]"
Key Account Manager,46,"sales, account management, communication, communication skills, business development, data analysis, customer service, presentation skills, key account management, teamwork","sales (2.48%), account management (1.91%), communication (1.69%), communication skills (1.58%), business development (1.35%), data analysis (1.13%), customer service (1.01%), presentation skills (1.01%), key account management (0.90%), teamwork (0.90%)","[('sales', 0.024774774774774775), ('account management', 0.019144144144144143), ('communication', 0.016891891891891893), ('communication skills', 0.015765765765765764), ('business development', 0.013513513513513514), ('data analysis', 0.01126126126126126), ('customer service', 0.010135135135135136), ('presentation skills', 0.010135135135135136), ('key account management', 0.009009009009009009), ('teamwork', 0.009009009009009009)]"
